id,first_name,last_name,number,team_id,position,class,from,country,height_in,games,poss,pts,ast,reb,oreb,stl,blk,to,fouls,fgm,fga,threem,threea,ftm,fta,sj_poss,sj_fgm,sj_pts,sj_ppp,sj_pct,mj_poss,mj_fgm,mj_pts,mj_ppp,mj_pct,three_poss,three_fgm,three_pts,three_ppp,three_pct,cs_poss,cs_fgm,cs_pts,cs_ppp,cs_pct,cs_efg,cs_three_fgm,cs_three_fga,cs_three_pct,cs_three_per_fga,rim_poss,rim_fgm,rim_pts,rim_ppp,rim_pct,rim_ft_pct,hook_poss,hooks_fgm,hook_pts,hooks_ppp,hooks_fg_pct,hooks_ft_pct,run_poss,run_fgm,run_pts,run_ppp,run_fg_pct,run_ft_pct,dunk_poss,dunk_fgm,dunk_pts,dunk_ppp,dunk_fg_pct,dunk_ft_pct,iso_poss,iso_pts,iso_ppp,iso_fgm,iso_fga,iso_fg_pct,iso_efg,iso_to,iso_ft,iso_score,prb_poss,prb_pts,prb_ppp,prb_fgm,prb_fga,prb_fg,prb_efg,prb_to,prb_ft,prb_score,post_poss,post_pts,post_ppp,post_fgm,post_fga,post_fg,post_to,post_ft,post_score,roll_poss,roll_pts,roll_ppp,roll_fgm,roll_fga,roll_fg,roll_efg,roll_to,roll_ft,roll_score,ho_poss,ho_pts,ho_ppp,ho_fgm,ho_fga,ho_fg,ho_efg,ho_to,ho_ft,ho_score,su_poss,su_pts,su_ppp,su_fgm,su_fga,su_fg,su_efg,su_score,os_poss,os_pts,os_ppp,os_fgm,os_fga,os_fg,os_efg,os_to,os_ft,os_score,trans_poss,trans_pts,trans_ppp,trans_fgm,trans_fga,trans_fg,trans_efg,trans_to,trans_ft,trans_score,cut_poss,cut_pts,cut_ppp,cut_fgm,cut_fga,cut_fg,cut_efg,cut_to,cut_ft,cut_score,pb_poss,pb_pts,pb_ppp,pb_fgm,pb_fga,pb_fg,pb_to,pb_ft,pb_score,pd_poss,pd_pts,pd_ppp,pd_fgm,pd_fga,pd_fg_pct,pd_efg_pct,pd_score_pct,pd_threefgm,pd_threefga,pd_threepct,pd_three_per_fg,intd_poss,intd_pts,intd_ppp,intd_fgm,intd_fga,intd_fg,intd_score_pct,school,team_name,coach_name,wins,losses,nescac_wins,nescac_losses,games,poss,fgm,fga,three_fgm,three_fga,ftm,fta,fg_pct,three_fg_pct,ft_pct,efg,to_pct,three_per_fga,school,team_name,coach_name,wins,losses,nescac_wins,nescac_losses,games,team_poss,team_pts,team_ast,team_reb,team_oreb,team_stl,team_blk,team_tov,team_fouls,team_fgm,team_fga,team_threem,team_threea,team_ftm,team_fta
44,Will,Logue,21,BOW,Guard,Freshman,Santa Rosa (CA),United States of America,73,19,64,32,19,35,9,8,1,16,14,11,39,1,11,9,17,3,1,2,0.667,0.333,0,0,0,0.000,0.000,11,1,3,0.273,0.091,11,1,3,0.273,0.091,0.136,1,11,0.091,1.00,23,9,18,0.783,0.391,0.000,0,0,0,0.000,0.000,0.000,2,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,9,1,0.111,0,4,0.000,0.000,0.444,0.111,0.111,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,3,1,0.333,0,2,0.000,0.000,0.000,0.333,0.333,24,13,0.542,6,19,0.316,0.316,0.292,3,3,1.000,1,2,0.500,0.750,0.000,0.333,0.333,10,5,0.500,1,6,0.167,0.167,0.100,0.300,0.400,6,5,0.833,1,3,0.333,0.333,0.167,0.333,0.500,2,4,2.000,2,2,1.000,0.000,0.000,1.000,56,44,0.786,19,50,0.380,0.410,0.339,3,18,0.167,0.36,31,34,1.097,17,28,0.607,0.548,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
45,Jack,Shea,22,BOW,Forward,Senior,Glastonbury (CT),United States of America,78,24,87,52,11,61,21,5,3,28,30,17,45,0,0,18,28,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0.00,37,16,35,0.946,0.432,0.081,7,1,2,0.286,0.143,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,4,4,1.000,1,2,0.500,0.500,0.250,0.250,0.500,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,14,5,0.357,2,8,0.250,0.357,0.071,0.214,17,6,0.353,1,9,0.111,0.111,0.294,0.235,0.176,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,3,2,0.667,0,2,0.000,0.000,0.333,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0.000,14,17,1.214,8,12,0.667,0.667,0.143,0.071,0.571,16,14,0.875,5,10,0.500,0.188,0.250,0.438,30,21,0.700,8,26,0.308,0.385,0.267,4,11,0.364,0.42,40,45,1.125,17,31,0.548,0.425,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
46,Andrew,Szwez,23,BOW,Guard,Freshman,Penobscot (ME),United States of America,78,20,111,79,11,63,11,11,7,17,24,31,89,9,37,8,12,9,4,8,0.889,0.444,10,3,6,0.600,0.300,37,9,27,0.730,0.243,37,10,28,0.757,0.270,0.378,8,32,0.250,0.86,19,11,22,1.158,0.579,0.053,4,1,2,0.500,0.250,0.000,5,1,2,0.400,0.200,0.000,0,0,0,0.000,0.000,0.000,1,2,2.000,1,1,1.000,1.000,0.000,1.000,1.000,7,0,0.000,0,4,0.000,0.000,0.429,0.000,0.000,4,0,0.000,0,3,0.000,0.250,0.000,0.000,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,12,5,0.417,2,10,0.200,0.250,0.167,0.000,0.167,44,39,0.886,13,39,0.333,0.423,0.364,3,2,0.667,1,3,0.333,0.333,0.000,0.000,0.333,13,13,1.000,6,12,0.500,0.542,0.077,0.000,0.462,15,14,0.933,7,15,0.467,0.467,0.000,0.000,0.467,2,2,1.000,1,2,0.500,0.000,0.000,0.500,71,49,0.690,18,58,0.310,0.362,0.254,6,25,0.240,0.43,37,35,0.946,17,34,0.500,0.459,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
47,Nolan,Bessire,24,BOW,Forward,Freshman,Santa Rosa (CA),United States of America,80,23,98,67,12,80,22,7,7,23,19,30,65,0,1,7,24,0,0,0,0.000,0.000,0,0,0,0.000,0.000,1,0,0,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0.00,56,29,62,1.107,0.518,0.125,6,1,2,0.333,0.167,0.000,2,0,0,0.000,0.000,0.000,8,6,13,1.625,0.750,0.125,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,12,4,0.333,2,6,0.333,0.500,0.083,0.167,34,32,0.941,14,24,0.583,0.583,0.147,0.265,0.471,1,2,2.000,1,1,1.000,1.000,0.000,0.000,1.000,2,4,2.000,2,2,1.000,1.000,1.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,5,5,1.000,2,5,0.400,0.400,0.000,0.200,0.400,18,14,0.778,6,12,0.500,0.500,0.167,0.222,0.389,15,6,0.400,3,13,0.231,0.067,0.067,0.200,38,24,0.632,9,34,0.265,0.338,0.237,5,17,0.294,0.50,39,35,0.897,14,27,0.519,0.359,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
48,Gabe,Gitter-Dentz,32,BOW,Guard,Sophomore,New York (NY),United States of America,72,7,12,14,1,1,0,1,0,3,1,5,8,1,1,3,3,1,1,2,2.000,1.000,0,0,0,0.000,0.000,1,1,3,3.000,1.000,1,1,3,3.000,1.000,1.500,1,1,1.000,1.00,6,3,7,1.167,0.500,0.167,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,1,2,2.000,1,1,1.000,1.000,0.000,0.000,1.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,2,2,1.000,0,1,0.000,0.000,0.000,0.500,0.500,3,5,1.667,2,2,1.000,1.250,0.667,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,2,3,1.500,1,2,0.500,0.500,0.000,0.500,0.500,1,2,2.000,1,1,1.000,1.000,0.000,0.000,1.000,1,0,0.000,0,1,0.000,0.000,0.000,0.000,5,3,0.600,1,3,0.333,0.333,0.200,0,0,0.000,0.00,0,0,0.000,0,0,0.000,0.000,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
49,Xander,Werkman,33,BOW,Forward,Senior,Spokane (WA),United States of America,79,24,275,245,24,159,41,7,5,45,64,96,195,1,17,52,73,5,3,6,1.200,0.600,2,0,0,0.000,0.000,17,1,3,0.176,0.059,19,1,3,0.158,0.053,0.079,1,17,0.059,0.89,128,78,159,1.242,0.609,0.031,30,9,18,0.600,0.300,0.000,9,4,8,0.889,0.444,0.000,5,4,8,1.600,0.800,0.000,5,2,0.400,0,2,0.000,0.000,0.200,0.400,0.200,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0.000,66,55,0.833,21,44,0.477,0.227,0.121,0.424,46,41,0.891,16,34,0.471,0.471,0.087,0.196,0.478,3,2,0.667,1,2,0.500,0.500,0.333,0.000,0.333,23,9,0.391,2,20,0.100,0.125,0.174,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,11,14,1.273,7,11,0.636,0.636,0.000,0.000,0.636,72,78,1.083,34,58,0.586,0.586,0.111,0.097,0.542,33,41,1.242,14,22,0.636,0.091,0.273,0.667,58,54,0.931,20,50,0.400,0.510,0.345,11,29,0.379,0.58,65,50,0.769,20,55,0.364,0.308,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
50,Kevin,Reeves,35,BOW,Forward,Freshman,Houston (TX),United States of America,80,17,74,72,3,51,13,5,9,14,17,29,46,0,0,14,26,2,1,2,1.000,0.500,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0.00,39,26,52,1.333,0.667,0.000,1,0,0,0.000,0.000,0.000,4,2,4,1.000,0.500,0.000,6,5,10,1.667,0.833,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,7,5,0.714,2,6,0.333,0.000,0.143,0.429,7,5,0.714,1,3,0.333,0.333,0.286,0.286,0.429,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,1,0,0.000,0,1,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,10,14,1.400,7,8,0.875,0.875,0.100,0.100,0.700,26,35,1.346,13,16,0.813,0.813,0.115,0.269,0.769,15,13,0.867,6,12,0.500,0.133,0.067,0.467,18,13,0.722,5,13,0.385,0.423,0.278,1,3,0.333,0.23,34,23,0.676,10,28,0.357,0.294,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
51,Henry,Rovillard,43,BOW,Guard,Freshman,Margate City (NJ),United States of America,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0.00,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0,0,0.000,0.00,0,0,0.000,0,0,0.000,0.000,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,24,1995,599,1481,163,516,233,366,0.404,0.316,0.637,0.459,0.171,0.35,Bowdoin College,Polar Bears,Alex Lloyd,10,14,2,8,260,1995,1595,291,842,190,162,44,342,372,599,1481,163,516,233,366
52,Liam,O'Connell,0,COL,Guard,Junior,Bedford (NH),United States of America,76,23,87,82,11,21,4,5,6,12,26,27,66,13,36,15,20,6,1,2,0.333,0.167,7,1,2,0.286,0.143,36,13,39,1.083,0.361,20,8,23,1.150,0.400,0.575,7,17,0.412,0.85,14,12,25,1.786,0.857,0.071,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,2,0,0.000,0,1,0.000,0.000,0.500,0.000,0.000,8,6,0.750,3,7,0.429,0.429,0.125,0.000,0.375,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,6,6,1.000,2,6,0.333,0.500,0.000,0.000,0.333,21,16,0.762,5,18,0.278,0.389,0.333,5,3,0.600,1,5,0.200,0.300,0.000,0.000,0.200,26,29,1.115,10,20,0.500,0.650,0.154,0.077,0.462,9,11,1.222,5,8,0.625,0.625,0.111,0.111,0.556,1,2,2.000,1,1,1.000,0.000,0.000,1.000,50,54,1.080,17,40,0.425,0.538,0.340,9,18,0.500,0.45,26,24,0.923,10,25,0.400,0.385,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
53,Max,Poulton,1,COL,Guard,Freshman,Wellesley (MA),United States of America,76,26,303,323,40,113,26,20,4,29,51,113,256,59,156,38,47,11,4,8,0.727,0.364,18,8,16,0.889,0.444,156,59,181,1.160,0.378,147,58,175,1.190,0.395,0.582,55,142,0.387,0.97,58,38,83,1.431,0.655,0.121,0,0,0,0.000,0.000,0.000,5,1,2,0.400,0.200,0.000,0,0,0,0.000,0.000,0.000,7,7,1.000,2,6,0.333,0.417,0.000,0.143,0.429,19,13,0.684,5,14,0.357,0.357,0.211,0.105,0.316,0,0,0.000,0,0,0.000,0.000,0.000,0.000,5,9,1.800,3,4,0.750,1.000,0.000,0.200,0.800,36,31,0.861,10,29,0.345,0.431,0.111,0.083,0.361,86,91,1.058,32,84,0.381,0.518,0.384,35,37,1.057,12,33,0.364,0.515,0.029,0.057,0.371,58,69,1.190,22,47,0.468,0.638,0.103,0.138,0.448,35,46,1.314,21,30,0.700,0.700,0.114,0.086,0.629,11,13,1.182,5,8,0.625,0.182,0.091,0.545,144,94,0.653,39,121,0.322,0.355,0.271,8,34,0.235,0.28,88,78,0.886,37,79,0.468,0.420,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
54,Lucas,Green,2,COL,Guard,Junior,Franklin Park (NJ),United States of America,77,24,250,240,38,45,11,14,8,59,45,83,169,41,87,33,47,3,2,4,1.333,0.667,2,0,0,0.000,0.000,87,41,123,1.414,0.471,77,36,108,1.403,0.468,0.701,36,77,0.468,1.00,67,35,73,1.090,0.522,0.060,2,1,2,1.000,0.500,0.000,8,5,10,1.250,0.625,0.000,0,0,0,0.000,0.000,0.000,15,14,0.933,6,9,0.667,0.667,0.400,0.133,0.400,23,17,0.739,6,14,0.429,0.536,0.348,0.043,0.304,5,5,1.000,2,4,0.500,0.000,0.200,0.600,2,2,1.000,1,2,0.500,0.500,0.000,0.000,0.500,23,25,1.087,8,16,0.500,0.625,0.217,0.087,0.435,88,95,1.080,32,72,0.444,0.604,0.409,12,10,0.833,3,10,0.300,0.450,0.083,0.083,0.333,36,42,1.167,15,25,0.600,0.760,0.167,0.167,0.500,16,21,1.313,9,14,0.643,0.643,0.000,0.125,0.688,3,0,0.000,0,1,0.000,0.667,0.000,0.000,99,90,0.909,35,84,0.417,0.500,0.354,14,34,0.412,0.40,64,71,1.109,32,59,0.542,0.500,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
55,Kyle,Butler,3,COL,Guard,Senior,Mattapan (MA),United States of America,75,14,40,44,3,7,2,2,3,4,14,18,35,5,18,3,4,0,0,0,0.000,0.000,0,0,0,0.000,0.000,18,5,15,0.833,0.278,16,5,15,0.938,0.313,0.469,5,16,0.313,1.00,15,12,26,1.733,0.800,0.133,0,0,0,0.000,0.000,0.000,2,1,2,1.000,0.500,0.000,0,0,0,0.000,0.000,0.000,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,1,0,0.000,0,0,0.000,0.000,1.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,4,5,1.250,2,4,0.500,0.625,0.000,0.000,0.500,10,9,0.900,3,9,0.333,0.500,0.300,2,3,1.500,1,2,0.500,0.750,0.000,0.000,0.500,13,10,0.769,4,11,0.364,0.364,0.077,0.154,0.385,7,13,1.857,6,7,0.857,0.857,0.000,0.143,0.857,2,4,2.000,2,2,1.000,0.000,0.000,1.000,28,20,0.714,7,24,0.292,0.333,0.250,2,10,0.200,0.42,16,16,1.000,7,15,0.467,0.438,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
56,Cooper,Wirkala,5,COL,Forward,Senior,Spruce Head (ME),United States of America,78,26,111,121,17,31,9,5,4,11,25,38,85,22,52,23,32,1,1,2,2.000,1.000,0,0,0,0.000,0.000,52,22,66,1.269,0.423,37,17,51,1.378,0.459,0.689,17,37,0.459,1.00,22,12,24,1.091,0.545,0.091,2,1,2,1.000,0.500,0.000,8,2,4,0.500,0.250,0.000,0,0,0,0.000,0.000,0.000,9,11,1.222,5,9,0.556,0.611,0.000,0.000,0.556,9,9,1.000,3,8,0.375,0.438,0.000,0.111,0.444,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,21,12,0.571,4,19,0.211,0.263,0.048,0.048,0.238,32,47,1.469,15,26,0.577,0.769,0.594,2,5,2.500,2,2,1.000,1.250,0.000,0.000,1.000,25,28,1.120,7,18,0.389,0.583,0.120,0.160,0.440,3,3,1.000,1,1,1.000,1.000,0.333,0.333,0.667,1,2,2.000,1,1,1.000,0.000,0.000,1.000,45,45,1.000,17,37,0.459,0.500,0.378,3,9,0.333,0.24,34,38,1.118,19,33,0.576,0.559,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
57,Noah,Tyson,12,COL,Forward,Senior,Castleton (VT),United States of America,75,27,312,310,34,165,26,27,16,25,44,103,263,63,194,41,52,7,1,2,0.286,0.143,7,3,6,0.857,0.429,194,63,189,0.974,0.325,161,52,159,0.988,0.323,0.484,52,160,0.325,1.00,47,32,64,1.362,0.681,0.000,5,3,6,1.200,0.600,0.000,4,1,2,0.500,0.250,0.000,0,0,0,0.000,0.000,0.000,4,2,0.500,0,3,0.000,0.000,0.000,0.250,0.250,17,10,0.588,3,14,0.214,0.321,0.118,0.059,0.235,1,2,2.000,1,1,1.000,0.000,0.000,1.000,5,6,1.200,2,5,0.400,0.600,0.000,0.000,0.400,35,24,0.686,10,31,0.323,0.387,0.086,0.029,0.286,107,122,1.140,42,104,0.404,0.587,0.393,14,17,1.214,6,14,0.429,0.607,0.000,0.000,0.429,54,42,0.778,13,49,0.265,0.378,0.037,0.056,0.278,38,49,1.289,22,29,0.759,0.759,0.132,0.105,0.658,12,7,0.583,3,9,0.333,0.167,0.083,0.333,147,105,0.714,40,124,0.323,0.371,0.272,12,54,0.222,0.44,76,88,1.158,41,71,0.577,0.539,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
58,Rashard,Doyal,13,COL,Guard,Freshman,Atlanta (GA),United States of America,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0.00,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0,0,0.000,0.00,0,0,0.000,0,0,0.000,0.000,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
59,Will,King,14,COL,Guard,Senior,Glenview (IL),United States of America,77,26,347,322,155,115,23,26,5,48,30,116,258,21,58,69,92,17,5,10,0.588,0.294,4,1,2,0.500,0.250,58,21,63,1.086,0.362,38,17,51,1.342,0.447,0.671,17,38,0.447,1.00,142,72,153,1.077,0.507,0.077,8,1,2,0.250,0.125,0.000,29,15,32,1.103,0.517,0.069,0,0,0,0.000,0.000,0.000,44,34,0.773,12,36,0.333,0.333,0.091,0.159,0.364,116,104,0.897,43,92,0.467,0.484,0.147,0.121,0.414,7,5,0.714,2,4,0.500,0.286,0.143,0.429,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0.000,46,50,1.087,21,39,0.538,0.603,0.087,0.087,0.500,62,71,1.145,24,49,0.490,0.612,0.500,6,5,0.833,2,6,0.333,0.417,0.000,0.000,0.333,25,17,0.680,8,19,0.421,0.421,0.200,0.040,0.360,2,2,1.000,0,1,0.000,0.000,0.000,0.500,0.500,7,10,1.429,3,4,0.750,0.143,0.429,0.714,153,147,0.961,55,130,0.423,0.523,0.359,26,72,0.361,0.55,83,104,1.253,45,74,0.608,0.542,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
60,Ben,Kaczmarek,20,COL,Guard,Sophomore,Newton (MA),United States of America,76,13,51,40,6,31,7,11,2,9,21,15,41,8,22,2,2,0,0,0,0.000,0.000,4,1,2,0.500,0.250,22,8,24,1.091,0.364,24,9,26,1.083,0.375,0.542,8,21,0.381,0.88,13,6,12,0.923,0.462,0.000,0,0,0,0.000,0.000,0.000,2,0,0,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,4,3,0.750,1,2,0.500,0.750,0.500,0.000,0.250,0,0,0.000,0,0,0.000,0.000,0.000,0.000,1,0,0.000,0,1,0.000,0.000,0.000,0.000,0.000,2,0,0.000,0,2,0.000,0.000,0.000,0.000,0.000,23,27,1.174,10,21,0.476,0.643,0.435,7,2,0.286,1,6,0.167,0.167,0.143,0.000,0.143,6,2,0.333,1,4,0.250,0.250,0.333,0.000,0.167,3,4,1.333,2,3,0.667,0.667,0.000,0.000,0.667,3,0,0.000,0,2,0.000,0.333,0.000,0.000,35,26,0.743,11,32,0.344,0.406,0.314,4,17,0.235,0.53,25,20,0.800,10,25,0.400,0.400,Colby College,Mules,Damien Strahorn,20,7,5,5,27,2163,717,1668,288,795,303,416,0.430,0.362,0.728,0.516,0.142,0.48,Colby College,Mules,Damien Strahorn,20,7,5,5,301,2163,2025,404,893,200,152,86,308,390,717,1668,288,795,303,416
