YEAR,CLASS,POSITION,GP,POSS,PTS,AST,TOV,FG MISS,FT MISS,REB,OREB,STL,BLK,TEAM POSS,ORTG,PER,NESCAC WINS,NESCAC LOSSES,WINNER
2022,Senior,Guard,26,486,459,60,74,192,22,170,50,36,15,2527,19.7,11.98,9,1,1
2020,Junior,Center,29,486,474,24,65,143,94,330,107,20,67,2578,19.0,13.24,2,1
2019,Junior,Guard,30,559,565,90,59,238,17,175,29,36,20,2664,23.5,14.30,7,3,1
2018,Junior,Forward,29,476,555,47,48,190,24,103,20,26,9,2225,26.4,15.20,7,3,1
2017,Senior,Guard,30,587,651,92,53,256,35,137,17,58,9,2599,27.4,16.13,8,2,1
2022,Sophomore,Center,23,318,312,66,56,108,24,143,38,21,25,1833,19.4,11.30,5,3,0
2017,Senior,Forward,25,449,408,5,89,145,39,281,85,16,36,2210,18.6,12.69,6,4,0
2018,Senior,Guard,27,527,423,223,101,197,59,229,67,44,1,2539,22.5,13.02,7,3,0
2022,Freshman,Guard,23,417,413,35,43,194,22,135,18,12,8,2120,20.6,11.95,7,3,0
